Fold      Accuracy    Precision     Recall
------  ----------  -----------  ---------
1        0.73617      0.731481   0.864964
2        0.692308     0.704762   0.813187
3        0.730769     0.731861   0.849817
4        0.737179     0.731481   0.868132
5        0.737179     0.735849   0.857143
6        0.732906     0.72561    0.871795
7        0.739316     0.750831   0.827839
8        0.764957     0.762058   0.868132
9        0.74359      0.757576   0.824176
10       0.735043     0.727829   0.871795
avg      0.734942     0.735934   0.851698
std      0.0337379    0.0320809  0.0417943
