Fold      Accuracy    Precision    Recall
------  ----------  -----------  --------
1        0.712766     0.740484   0.781022
2        0.698718     0.73913    0.747253
3        0.728632     0.755245   0.791209
4        0.715812     0.736486   0.798535
5        0.715812     0.757353   0.754579
6        0.726496     0.754386   0.787546
7        0.705128     0.738516   0.765568
8        0.745726     0.775      0.794872
9        0.717949     0.758242   0.758242
10       0.711538     0.736301   0.787546
avg      0.717858     0.749114   0.776637
std      0.0250598    0.0244683  0.035171
