Fold      Accuracy    Precision     Recall
------  ----------  -----------  ---------
1        0.731915     0.786822   0.740876
2        0.705128     0.754717   0.732601
3        0.732906     0.764286   0.783883
4        0.720085     0.766917   0.747253
5        0.737179     0.781955   0.761905
6        0.720085     0.762963   0.754579
7        0.735043     0.78327    0.754579
8        0.707265     0.767717   0.714286
9        0.737179     0.771739   0.78022
10       0.737179     0.769784   0.783883
avg      0.726397     0.771017   0.755406
std      0.0236171    0.0192372  0.0436795
