Fold      Accuracy    Precision    Recall
------  ----------  -----------  --------
1        0.704255     0.741935   0.755474
2        0.685897     0.736842   0.717949
3        0.728632     0.758865   0.783883
4        0.707265     0.737762   0.772894
5        0.715812     0.751799   0.765568
6        0.735043     0.772894   0.772894
7        0.717949     0.762082   0.750916
8        0.730769     0.765343   0.776557
9        0.730769     0.769231   0.769231
10       0.722222     0.75265    0.78022
avg      0.717861     0.75494    0.764558
std      0.0288913    0.0245604  0.036691
