Fold      Accuracy    Precision    Recall
------  ----------  -----------  --------
1        0.708511     0.74552    0.759124
2        0.690171     0.742424   0.717949
3        0.717949     0.745645   0.783883
4        0.726496     0.761733   0.772894
5        0.711538     0.755556   0.747253
6        0.741453     0.765734   0.802198
7        0.745726     0.778986   0.787546
8        0.724359     0.770677   0.750916
9        0.713675     0.745583   0.772894
10       0.715812     0.738095   0.794872
avg      0.719569     0.754995   0.768953
std      0.0305715    0.0260148  0.04846
